 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
521,28,484.750,553.679,4536,18.837,1.893,156.086,521,228,255
522,562,603.511,867.842,4536,33.803,21.169,153.489,522,228,255
523,44,617.250,871.205,4536,9.922,5.646,9.245,523,228,255
524,2,602.500,127.500,4536,12.611,0.202,56.310,524,228,255
525,36,597.361,322.556,4536,7.432,6.167,131.625,525,228,255
526,28,609.000,498.214,4536,8.095,4.404,75.850,526,228,255
527,0,NaN,NaN,4536,NaN,NaN,0.000,527,228,255
528,5,790.700,631.300,4536,6.106,1.043,47.620,528,228,255
529,9,392.278,415.944,4536,4.648,2.465,142.015,529,228,255
530,2,418.000,506.500,4536,2.257,1.128,0.000,530,228,255
531,4,763.500,830.500,4536,3.859,1.320,2.536,531,228,255
532,4,887.000,695.000,4536,16.851,0.302,74.853,532,228,255
533,4,849.250,736.250,4536,73.044,0.070,158.950,533,228,255
534,0,NaN,NaN,4536,NaN,NaN,0.000,534,228,255
535,74,623.784,670.216,4536,25.425,3.706,38.390,535,228,255
536,15,846.300,965.833,4536,4.937,3.868,155.210,536,228,255
537,75,841.260,928.327,4536,19.969,4.782,95.988,537,228,255
538,46,804.239,714.913,4536,12.011,4.876,65.663,538,228,255
539,12,689.333,396.000,4536,7.003,2.182,114.189,539,228,255
540,7,847.643,399.214,4536,3.518,2.533,110.641,540,228,255
541,2,377.000,140.500,4536,59.526,0.043,159.603,541,228,255
542,1,422.500,478.500,4536,1.128,1.128,0.000,542,228,255
543,9,543.500,829.278,4536,35.556,0.322,28.017,543,228,255
544,1,416.500,554.500,4536,1.128,1.128,0.000,544,228,255
545,9,748.500,518.944,4536,6.306,1.817,69.085,545,228,255
546,8,590.375,571.875,4536,3.552,2.868,177.187,546,228,255
547,53,738.934,666.821,4536,17.373,3.884,137.852,547,228,255
548,0,NaN,NaN,4536,NaN,NaN,0.000,548,228,255
549,46,710.065,746.087,4536,7.930,7.386,67.722,549,228,255
550,5,769.500,573.900,4536,6.257,1.018,75.765,550,228,255
551,20,717.350,512.900,4536,6.224,4.091,81.626,551,228,255
552,36,785.528,569.278,4536,13.987,3.277,74.786,552,228,255
553,135,633.767,244.930,4536,20.257,8.485,109.837,553,228,255
554,60,785.583,840.150,4536,12.323,6.199,78.473,554,228,255
555,184,646.522,672.935,4536,18.142,12.913,126.346,555,228,255
556,8,713.750,571.500,4536,6.717,1.516,84.886,556,228,255
557,14,753.929,452.571,4536,14.371,1.240,56.239,557,228,255
558,32,815.812,769.438,4536,7.721,5.277,153.011,558,228,255
559,0,NaN,NaN,4536,NaN,NaN,0.000,559,228,255
560,1,489.500,352.500,4536,1.128,1.128,0.000,560,228,255
561,12,495.583,409.167,4536,4.817,3.172,141.630,561,228,255
562,8,673.000,514.375,4536,3.981,2.559,145.100,562,228,255
563,5,798.300,633.700,4536,4.394,1.449,83.145,563,228,255
564,6,537.167,603.000,4536,5.089,1.501,16.515,564,228,255
565,8,554.875,613.750,4536,9.642,1.056,155.226,565,228,255
566,41,708.744,570.744,4536,12.143,4.299,118.695,566,228,255
567,17,723.441,745.029,4536,21.669,0.999,134.702,567,228,255
568,18,632.278,723.667,4536,10.835,2.115,167.067,568,228,255
569,0,NaN,NaN,4536,NaN,NaN,0.000,569,228,255
570,4,654.000,545.750,4536,3.162,1.611,99.190,570,228,255
571,2,286.500,343.000,4536,62.739,0.041,129.863,571,228,255
572,41,573.159,460.232,4536,8.052,6.484,58.181,572,228,255
573,0,NaN,NaN,4536,NaN,NaN,0.000,573,228,255
574,1,421.500,464.500,4536,1.128,1.128,0.000,574,228,255
575,1,715.500,681.500,4536,1.128,1.128,0.000,575,228,255
576,73,795.582,810.089,4536,25.943,3.583,82.175,576,228,255
577,0,NaN,NaN,4536,NaN,NaN,0.000,577,228,255
578,5,769.500,360.100,4536,72.615,0.088,136.774,578,228,255
579,12,752.917,853.417,4536,6.512,2.346,92.973,579,228,255
580,3,999.500,689.500,4536,10.044,0.380,42.231,580,228,255
581,23,953.804,709.109,4536,8.851,3.309,141.570,581,228,255
582,0,NaN,NaN,4536,NaN,NaN,0.000,582,228,255
583,3,875.833,646.167,4536,36.463,0.105,33.455,583,228,255
584,26,681.846,587.846,4536,14.091,2.349,40.258,584,228,255
585,17,655.265,670.971,4536,6.886,3.144,123.319,585,228,255
586,22,653.864,673.955,4536,17.576,1.594,63.342,586,228,255
587,24,646.667,755.000,4536,31.367,0.974,82.879,587,228,255
588,15,764.900,654.433,4536,47.578,0.401,9.037,588,228,255
589,9,684.056,743.500,4536,46.284,0.248,34.791,589,228,255
590,2,596.500,771.000,4536,2.257,1.128,90.000,590,228,255
591,14,943.214,736.214,4536,4.494,3.966,57.508,591,228,255
592,3,409.167,678.500,4536,49.345,0.077,160.465,592,228,255
593,80,412.225,730.400,4536,11.011,9.251,111.606,593,228,255
594,2,550.500,749.000,4536,2.257,1.128,90.000,594,228,255
595,0,NaN,NaN,4536,NaN,NaN,0.000,595,228,255
596,5,434.500,737.900,4536,25.554,0.249,15.393,596,228,255
597,3,1295.500,904.167,4536,9.385,0.407,90.000,597,228,255
598,2,1295.500,939.000,4536,2.257,1.128,90.000,598,228,255
599,0,NaN,NaN,4536,NaN,NaN,0.000,599,228,255
600,17,645.206,769.912,4536,5.255,4.119,9.394,600,228,255
601,1,1295.500,0.500,4536,1.128,1.128,90.000,601,228,255
602,12,645.833,768.083,4536,20.313,0.752,0.955,602,228,255
603,22,575.818,819.091,4536,16.038,1.747,32.835,603,228,255
604,4,551.250,704.000,4536,4.288,1.188,149.244,604,228,255
605,3,917.500,657.500,4536,3.385,1.128,90.000,605,228,255
606,0,NaN,NaN,4536,NaN,NaN,0.000,606,228,255
607,0,NaN,NaN,4536,NaN,NaN,0.000,607,228,255
608,1,446.500,665.500,4536,1.128,1.128,0.000,608,228,255
609,25,736.500,500.940,4536,48.740,0.653,23.397,609,228,255
610,0,NaN,NaN,4536,NaN,NaN,0.000,610,228,255
611,123,581.972,753.159,4536,25.275,6.196,37.884,611,228,255
612,1,462.500,767.500,4536,1.128,1.128,0.000,612,228,255
613,5,684.100,834.500,4536,10.736,0.593,165.402,613,228,255
614,1,1052.500,382.500,4536,1.128,1.128,0.000,614,228,255
615,6,753.333,554.833,4536,39.086,0.195,155.693,615,228,255
616,14,856.000,520.714,4536,15.345,1.162,88.841,616,228,255
617,433,780.195,865.957,4536,42.473,12.980,62.924,617,228,255
618,72,821.833,837.514,4536,22.087,4.151,38.888,618,228,255
619,145,607.334,795.907,4536,32.302,5.715,58.548,619,228,255
620,3,869.500,446.833,4536,17.167,0.223,22.282,620,228,255
621,19,805.342,445.447,4536,7.993,3.027,45.223,621,228,255
622,2,422.000,423.500,4536,2.257,1.128,0.000,622,228,255
623,19,838.553,495.921,4536,21.375,1.132,103.983,623,228,255
