 ,Area,XM,YM,Perim.,Major,Minor,Angle,Slice,MinThr,MaxThr
205,0,NaN,NaN,4536,NaN,NaN,0.000,205,1,255
206,0,NaN,NaN,4536,NaN,NaN,0.000,206,1,255
207,5,411.500,142.100,4536,91.384,0.070,159.612,207,1,255
208,13,840.962,529.731,4536,47.955,0.345,177.007,208,1,255
209,2,537.000,0.500,4536,2.257,1.128,0.000,209,1,255
210,0,NaN,NaN,4536,NaN,NaN,0.000,210,1,255
211,0,NaN,NaN,4536,NaN,NaN,0.000,211,1,255
212,0,NaN,NaN,4536,NaN,NaN,0.000,212,1,255
213,1,1295.500,718.500,4536,1.128,1.128,0.000,213,1,255
214,0,NaN,NaN,4536,NaN,NaN,0.000,214,1,255
215,2,1295.500,268.000,4536,2.257,1.128,90.000,215,1,255
216,0,NaN,NaN,4536,NaN,NaN,0.000,216,1,255
217,6,371.167,392.500,4536,44.063,0.173,1.545,217,1,255
218,1,0.500,867.500,4536,1.128,1.128,0.000,218,1,255
219,0,NaN,NaN,4536,NaN,NaN,0.000,219,1,255
220,2,1295.500,401.000,4536,2.257,1.128,90.000,220,1,255
221,6,1265.167,115.333,4536,44.962,0.170,93.029,221,1,255
222,0,NaN,NaN,4536,NaN,NaN,0.000,222,1,255
223,0,NaN,NaN,4536,NaN,NaN,0.000,223,1,255
224,0,NaN,NaN,4536,NaN,NaN,0.000,224,1,255
225,1,0.500,768.500,4536,1.128,1.128,0.000,225,1,255
226,5,1111.500,971.500,4536,5.642,1.128,0.000,226,1,255
227,8,807.750,918.250,4536,10.628,0.958,160.768,227,1,255
228,5,147.900,202.500,4536,52.846,0.120,128.546,228,1,255
229,1,433.500,209.500,4536,1.128,1.128,90.000,229,1,255
230,1,0.500,246.500,4536,1.128,1.128,90.000,230,1,255
231,1,0.500,509.500,4536,1.128,1.128,0.000,231,1,255
232,2,566.000,181.000,4536,71.294,0.036,11.056,232,1,255
233,5,1158.500,565.500,4536,39.319,0.162,5.006,233,1,255
234,2,0.500,553.000,4536,2.257,1.128,90.000,234,1,255
235,5,568.300,895.300,4536,93.623,0.068,8.933,235,1,255
236,3,789.500,462.500,4536,57.516,0.066,152.894,236,1,255
237,5,1042.300,571.700,4536,6.829,0.932,149.960,237,1,255
238,5,430.300,547.300,4536,3.248,1.960,11.286,238,1,255
239,4,855.750,21.750,4536,15.108,0.337,178.086,239,1,255
240,2,973.000,708.500,4536,2.257,1.128,0.000,240,1,255
241,1,0.500,592.500,4536,1.128,1.128,0.000,241,1,255
242,1,0.500,252.500,4536,1.128,1.128,90.000,242,1,255
243,0,NaN,NaN,4536,NaN,NaN,0.000,243,1,255
244,0,NaN,NaN,4536,NaN,NaN,0.000,244,1,255
245,3,63.167,199.167,4536,46.830,0.082,99.197,245,1,255
246,0,NaN,NaN,4536,NaN,NaN,0.000,246,1,255
247,0,NaN,NaN,4536,NaN,NaN,0.000,247,1,255
248,1,994.500,971.500,4536,1.128,1.128,0.000,248,1,255
249,0,NaN,NaN,4536,NaN,NaN,0.000,249,1,255
250,0,NaN,NaN,4536,NaN,NaN,0.000,250,1,255
251,11,1109.409,556.136,4536,44.138,0.317,6.936,251,1,255
252,0,NaN,NaN,4536,NaN,NaN,0.000,252,1,255
253,4,632.000,844.750,4536,38.514,0.132,21.024,253,1,255
254,3,0.500,4.500,4536,3.385,1.128,90.000,254,1,255
255,2,0.500,684.000,4536,2.257,1.128,90.000,255,1,255
256,4,908.250,468.750,4536,3.139,1.623,168.139,256,1,255
257,4,1295.250,791.500,4536,2.734,1.863,90.000,257,1,255
258,0,NaN,NaN,4536,NaN,NaN,0.000,258,1,255
259,3,960.167,235.833,4536,17.622,0.217,75.962,259,1,255
260,0,NaN,NaN,4536,NaN,NaN,0.000,260,1,255
261,3,757.167,804.167,4536,66.369,0.058,146.080,261,1,255
262,4,583.750,93.750,4536,19.276,0.264,61.375,262,1,255
263,0,NaN,NaN,4536,NaN,NaN,0.000,263,1,255
264,1,849.500,0.500,4536,1.128,1.128,90.000,264,1,255
265,5,1036.500,213.700,4536,57.421,0.111,168.371,265,1,255
266,0,NaN,NaN,4536,NaN,NaN,0.000,266,1,255
267,0,NaN,NaN,4536,NaN,NaN,0.000,267,1,255
268,0,NaN,NaN,4536,NaN,NaN,0.000,268,1,255
269,7,648.500,871.071,4536,86.224,0.103,168.353,269,1,255
270,2,500.000,258.000,4536,70.408,0.036,152.728,270,1,255
271,1,420.500,284.500,4536,1.128,1.128,0.000,271,1,255
272,0,NaN,NaN,4536,NaN,NaN,0.000,272,1,255
273,3,185.167,503.167,4536,3.672,1.040,121.451,273,1,255
