"time","Fs_418","Fs_584","Fs_114","Fs_542","Fs_544","Fs_560","Fs_389","Fs_483","Fs_481","Fs_18","Fs_405","Fs_51","Fs_2","Fs_475","Fs_357","Fs_7","Fs_130","Fs_208"
2023-10-31 00:02:00,10.8465,10.451,17.8616666666667,26.6525,43.7803333333333,9.19166666666667,36.0455,13.1005,25.1903333333333,26.2703333333333,30.5638333333333,20.776,14.8013333333333,35.7188333333333,31.607,32.0771666666667,33.5085,21.6751666666667
2023-10-31 01:02:00,10.8548333333333,10.4518,17.8616666666667,26.652,43.7893333333333,9.193,36.0451666666667,13.1096666666667,25.1905,26.27,30.566,20.778,14.802,35.7178333333333,31.6135,32.0796666666667,33.5115,21.6763333333333
2023-10-31 02:02:00,10.8575,10.451,17.862,26.6523333333333,43.7915,9.19383333333333,36.0481666666667,13.1125,25.1913333333333,26.2696666666667,30.5705,20.7803333333333,14.8008333333333,35.7225,31.6195,32.0853333333333,33.5145,21.6908333333333
2023-10-31 03:02:00,10.8641666666667,10.455,17.8616666666667,26.6543333333333,43.7981666666667,9.20416666666667,36.0511666666667,13.1151666666667,25.1931666666667,26.2706666666667,30.585,20.7963333333333,14.8013333333333,35.7283333333333,31.6325,32.1021666666667,33.5151666666667,21.7053333333333
2023-10-31 04:02:00,10.8691666666667,10.453,17.86,26.6605,43.8225,9.21,36.0611666666667,13.1198333333333,25.1936666666667,26.271,30.5868333333333,20.809,14.8016666666667,35.7496666666667,31.6305,32.1226666666667,33.5111666666667,21.7105
2023-10-31 05:02:00,10.8775,10.456,17.8633333333333,26.6645,43.8433333333333,9.2105,36.0701666666667,13.1241666666667,25.1966666666667,26.2758333333333,30.5851666666667,20.8185,14.8055,35.783,31.6313333333333,32.1136666666667,33.5106666666667,21.716
2023-10-31 06:02:00,10.8836666666667,10.4548333333333,17.8658333333333,26.6858333333333,43.8193333333333,9.211,36.1326666666667,13.1286666666667,25.1915,26.2815,30.5908333333333,20.8385,14.8116666666667,35.802,31.6316666666667,32.1158333333333,33.5053333333333,21.7186666666667
2023-10-31 07:02:00,10.8825,10.4578,17.8666666666667,26.6914,43.816,9.21166666666667,36.1508333333333,13.1276666666667,25.1916666666667,26.2805,30.5891666666667,20.8426666666667,14.8125,35.8015,31.6318333333333,32.1175,33.5033333333333,21.717
2023-10-31 08:02:00,10.888,10.4565,17.866,26.6911666666667,43.8211666666667,9.21166666666667,36.1518333333333,13.1288333333333,25.1925,26.2841666666667,30.5935,20.847,14.8136666666667,35.8016666666667,31.636,32.1236666666667,33.4986,21.7148333333333
2023-10-31 09:02:00,10.8915,10.4616666666667,17.8661666666667,26.6925,43.8196666666667,9.21033333333333,36.1533333333333,13.1293333333333,25.1948333333333,26.2826666666667,30.6058333333333,20.8503333333333,14.8143333333333,35.7948333333333,31.6363333333333,32.1261666666667,33.4971666666667,21.7143333333333
