"time","Fe_142","Fe_583","Fe_10","Fe_9","Fe_113","Fe_379","Fe_477","Fe_350","Fe_1","Fe_186"
2023-04-30 22:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06933333333333,25.0038333333333,27.3963333333333,35.8996666666667,33.1718333333333
2023-04-30 23:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.07,25.0098333333333,27.3976666666667,35.904,33.1731666666667
2023-05-01 00:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06683333333333,25.0081666666667,27.4011666666667,35.9016666666667,33.1751666666667
2023-05-01 01:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.067,25.0063333333333,27.4045,35.9018333333333,33.1748333333333
2023-05-01 02:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.066,25.0063333333333,27.4065,35.9026666666667,33.1741666666667
2023-05-01 03:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06716666666667,25.007,27.4058333333333,35.905,33.1748333333333
2023-05-01 04:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06566666666667,25.007,27.4035,35.9055,33.1756666666667
2023-05-01 05:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06466666666667,25.0055,27.4043333333333,35.9036666666667,33.172
2023-05-01 06:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05966666666667,25.0016666666667,27.4064,35.898,33.1633333333333
2023-05-01 07:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.053,25.006,27.4073333333333,35.8958333333333,33.1556666666667
2023-05-01 08:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.04716666666667,25.0113333333333,27.4076666666667,35.8965,33.1456666666667
2023-05-01 09:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05266666666667,25.009,27.4058,35.8928333333333,33.1448333333333
2023-05-01 10:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05628571428571,25.0066666666667,27.4094,35.8884285714286,33.1425
2023-05-01 11:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06066666666667,25.0056666666667,27.411,35.8843333333333,33.1438333333333
2023-05-01 12:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05983333333333,25.0043333333333,27.4116666666667,35.8825,33.1431666666667
2023-05-01 13:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.061,25.0031666666667,27.4101666666667,35.8871666666667,33.1438333333333
2023-05-01 14:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05883333333333,25.0036666666667,27.411,35.8885,33.1445
2023-05-01 15:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05016666666667,25.0008333333333,27.4085,35.8936666666667,33.1481666666667
2023-05-01 16:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.04516666666667,24.9936,27.405,35.8981666666667,33.1533333333333
2023-05-01 17:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05,24.9951666666667,27.4015,35.9005,33.1548333333333
2023-05-01 18:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.04466666666667,24.993,27.4028333333333,35.901,33.156
2023-05-01 19:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.04933333333333,24.9893333333333,27.4025,35.9026666666667,33.161
2023-05-01 20:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.048,24.9888333333333,27.406,35.9015,33.1591666666667
2023-05-01 21:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05083333333333,24.988,27.4078333333333,35.9031666666667,33.1633333333333
2023-05-01 22:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06083333333333,24.9893333333333,27.4065,35.9065,33.1675
2023-05-01 23:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06133333333333,24.9898333333333,27.4055,35.9093333333333,33.1665
2023-05-02 00:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.06,24.9896666666667,27.4054,35.9118333333333,33.1653333333333
2023-05-02 01:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05783333333333,24.9885,27.405,35.9138333333333,33.1645
2023-05-02 02:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05516666666667,24.9875,27.4071666666667,35.916,33.162
2023-05-02 03:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05716666666667,24.99,27.4093333333333,35.9181666666667,33.165
2023-05-02 04:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.05716666666667,24.9921666666667,27.4095,35.924,33.1661666666667
2023-05-02 05:07:00,15.6003333333333,6.46766666666667,12.5535,8.50383333333333,13.6861666666667,5.048,24.9941666666667,27.4101666666667,35.9251666666667,33.1651666666667
