"time","Ap_143","Ap_404","Ap_618","Ap_39","Ap_540","Ap_116"
2023-04-30 22:02:00,12.0868333333333,13.7383333333333,34.2781666666667,26.7,29.9996666666667,20.2616666666667
2023-04-30 23:02:00,12.0868333333333,13.7383333333333,34.2825,26.6996666666667,29.9993333333333,20.2591666666667
2023-05-01 00:02:00,12.0868333333333,13.7383333333333,34.2796666666667,26.6988333333333,30.003,20.2548333333333
2023-05-01 01:02:00,12.0868333333333,13.7383333333333,34.2805,26.698,30.0055,20.2523333333333
2023-05-01 02:02:00,12.0868333333333,13.7383333333333,34.2808333333333,26.7,30.005,20.2526666666667
2023-05-01 03:02:00,12.0868333333333,13.7383333333333,34.275,26.6996666666667,30.0028333333333,20.253
2023-05-01 04:02:00,12.0868333333333,13.7383333333333,34.2723333333333,26.6991666666667,30.0033333333333,20.251
2023-05-01 05:02:00,12.0868333333333,13.7383333333333,34.2731666666667,26.6991666666667,29.9981666666667,20.2526666666667
2023-05-01 06:02:00,12.0868333333333,13.7383333333333,34.2735,26.7025,29.9936666666667,20.2663333333333
2023-05-01 07:02:00,12.0868333333333,13.7383333333333,34.2731666666667,26.6963333333333,30.0102,20.276
2023-05-01 08:02:00,12.0868333333333,13.7383333333333,34.2576666666667,26.709,30.0135,20.282
2023-05-01 09:02:00,12.0868333333333,13.7383333333333,34.249,26.698,30.0151666666667,20.2805
2023-05-01 10:02:00,12.0868333333333,13.7383333333333,34.244,26.6926,30.0125,20.2788333333333
2023-05-01 11:02:00,12.0868333333333,13.7383333333333,34.2451666666667,26.6896666666667,30.0133333333333,20.2791666666667
2023-05-01 12:02:00,12.0868333333333,13.7383333333333,34.2636666666667,26.6853333333333,30.0133333333333,20.2798333333333
2023-05-01 13:02:00,12.0868333333333,13.7383333333333,34.2608333333333,26.6878,30.0033333333333,20.2795
2023-05-01 14:02:00,12.0868333333333,13.7383333333333,34.2645,26.6863333333333,29.9966666666667,20.2786666666667
2023-05-01 15:02:00,12.0868333333333,13.7383333333333,34.2703333333333,26.6853333333333,29.9918333333333,20.2743333333333
2023-05-01 16:02:00,12.0868333333333,13.7383333333333,34.2766666666667,26.6786666666667,29.992,20.2575
2023-05-01 17:02:00,12.0868333333333,13.7383333333333,34.2746666666667,26.6778333333333,29.9938333333333,20.2531666666667
2023-05-01 18:02:00,12.0868333333333,13.7383333333333,34.271,26.6745,29.9926666666667,20.254
2023-05-01 19:02:00,12.0868333333333,13.7383333333333,34.2536666666667,26.6695,29.994,20.2483333333333
2023-05-01 20:02:00,12.0868333333333,13.7383333333333,34.2543333333333,26.669,29.995,20.2496666666667
2023-05-01 21:02:00,12.0868333333333,13.7383333333333,34.2535,26.669,29.9946666666667,20.25
2023-05-01 22:02:00,12.0868333333333,13.7383333333333,34.2528333333333,26.6686666666667,29.9968333333333,20.2488333333333
2023-05-01 23:02:00,12.0868333333333,13.7383333333333,34.2521666666667,26.6695,29.9975,20.2511666666667
2023-05-02 00:02:00,12.0868333333333,13.7383333333333,34.263,26.6691666666667,29.9963333333333,20.2498333333333
2023-05-02 01:02:00,12.0868333333333,13.7383333333333,34.2598333333333,26.6713333333333,29.9948333333333,20.2515
2023-05-02 02:02:00,12.0868333333333,13.7383333333333,34.2655,26.6716666666667,29.9952,20.2535
2023-05-02 03:02:00,12.0868333333333,13.7383333333333,34.2623333333333,26.6733333333333,29.9956666666667,20.2551666666667
2023-05-02 04:02:00,12.0868333333333,13.7383333333333,34.2665,26.674,29.9961666666667,20.2536666666667
2023-05-02 05:02:00,12.0868333333333,13.7383333333333,34.266,26.6773333333333,29.993,20.2538333333333
2023-05-02 06:02:00,12.0868333333333,13.7383333333333,34.2666666666667,26.6793333333333,29.993,20.2575
2023-05-02 07:02:00,12.0868333333333,13.7383333333333,34.2716666666667,26.6815,29.991,20.2596666666667
2023-05-02 08:02:00,12.0868333333333,13.7383333333333,34.2658333333333,26.6833333333333,29.9926,20.2648333333333
2023-05-02 09:02:00,12.0868333333333,13.7383333333333,34.264,26.6873333333333,29.9936666666667,20.2736666666667
2023-05-02 10:02:00,12.0868333333333,13.7383333333333,34.262,26.6858333333333,29.9928333333333,20.2746666666667
2023-05-02 11:02:00,12.0868333333333,13.7383333333333,34.2598333333333,26.686,29.9926666666667,20.2671666666667
2023-05-02 12:02:00,12.0868333333333,13.7383333333333,34.2566666666667,26.684,29.9921666666667,20.2605
2023-05-02 13:02:00,12.0868333333333,13.7383333333333,34.2593333333333,26.6825,29.9916666666667,20.2563333333333
2023-05-02 14:02:00,12.0868333333333,13.7383333333333,34.2686666666667,26.6796666666667,29.9945,20.2531666666667
2023-05-02 15:02:00,12.0868333333333,13.7383333333333,34.2758333333333,26.6818,29.9938333333333,20.2503333333333
2023-05-02 16:02:00,12.0868333333333,13.7383333333333,34.2745,26.6823333333333,29.991,20.2525
2023-05-02 17:02:00,12.0868333333333,13.7383333333333,34.2741666666667,26.6833333333333,29.9948333333333,20.2506666666667
2023-05-02 18:02:00,12.0868333333333,13.7383333333333,34.2738333333333,26.6793333333333,29.997,20.2475
2023-05-02 19:02:00,12.0868333333333,13.7383333333333,34.268,26.676,29.9965,20.2456666666667
2023-05-02 20:02:00,12.0868333333333,13.7383333333333,34.2671666666667,26.6736666666667,29.9955,20.2436666666667
2023-05-02 21:02:00,12.0868333333333,13.7383333333333,34.2638333333333,26.673,29.9928333333333,20.2431666666667
2023-05-02 22:02:00,12.0868333333333,13.7383333333333,34.2651666666667,26.6733333333333,29.993,20.2415
