"sample_ID","start_measurement","start_equilibration","drying_interval","equilibration_interval","psi_1","psi_2","psi","comment","minutes","campaign"
"FREX_05","2024-05-29 09:55:00","2024-05-29 09:15:00",82,40,"14.29","5.74",5.74,"2,49 for first leaf ?",82,"1"
"FREX_05","2024-05-29 10:59:00","2024-05-29 10:36:00",64,23,"14.8","15.4",15.1,NA,146,"1"
"FREX_05","2024-05-29 12:11:00","2024-05-29 11:39:00",72,32,"17.4","5.9",17.4,NA,218,"1"
"FREX_05","2024-05-29 14:06:00","2024-05-29 13:19:00",115,47,"14.8",NA,14.8,NA,333,"1"
"FREX_05","2024-05-29 15:52:00","2024-05-29 15:20:00",106,32,"18.5",NA,18.5,NA,439,"1"
"FREX_05","2024-05-29 18:26:00","2024-05-29 17:45:00",154,41,"17.7",NA,17.7,NA,593,"1"
"FREX_05","2024-05-30 00:10:00","2024-05-29 23:36:00",344,34,"27",NA,27,"first bubbles rising, nothing further until leak at 33",937,"1"
"FREX_05","2024-05-30 07:35:00","2024-05-30 07:00:00",445,35,"23.2",NA,23.2,NA,1382,"1"
"FREX_05","2024-05-30 11:51:00","2024-05-30 11:30:00",256,21,"24",NA,24,NA,1638,"1"
"FREX_05","2024-05-30 15:37:00","2024-05-30 15:00:00",226,37,"19.8",NA,19.8,NA,1864,"1"
"FREX_05","2024-05-30 18:43:00","2024-05-30 18:00:00",186,43,"43.3",NA,43.3,NA,2050,"1"
"FREX_05","2024-05-31 12:08:00","2024-05-31 11:22:00",1045,46,NA,NA,NA,"first bubbles 17,3 then 23,4 27",3095,"1"
"FREX_06","2024-05-29 08:30:00",NA,NA,NA,"1.38","1.27",1.325,NA,0,"1"
"FREX_06","2024-05-29 09:58:00","2024-05-29 09:15:00",88,43,"2.85","0.86",2.85,NA,88,"1"
"FREX_06","2024-05-29 11:15:00","2024-05-29 10:36:00",77,39,"17.1","5.9",5.9,NA,165,"1"
"FREX_06","2024-05-29 12:14:00","2024-05-29 11:39:00",59,35,"5.9","3.6",5.9,NA,224,"1"
"FREX_06","2024-05-29 14:13:00","2024-05-29 13:19:00",119,54,"17.3",NA,17.3,NA,343,"1"
"FREX_06","2024-05-29 15:55:00","2024-05-29 15:20:00",102,35,"17.4",NA,17.4,NA,445,"1"
"FREX_06","2024-05-29 18:23:00","2024-05-29 17:45:00",148,38,"18.5",NA,18.5,"first bubbles at 6,2 then waited",593,"1"
"FREX_06","2024-05-30 00:18:00","2024-05-29 23:36:00",355,42,"18.6",NA,18.6,NA,948,"1"
"FREX_06","2024-05-30 07:40:00","2024-05-30 07:00:00",442,40,"23.6",NA,23.6,NA,1390,"1"
"FREX_06","2024-05-30 11:51:00","2024-05-30 11:30:00",251,21,"22.3",NA,22.3,NA,1641,"1"
"FREX_06","2024-05-30 15:40:00","2024-05-30 15:00:00",229,40,"23.2",NA,23.2,NA,1870,"1"
"FREX_06","2024-05-30 18:47:00","2024-05-30 18:00:00",187,47,"23.7",NA,23.7,NA,2057,"1"
