"year","campaign","date","species","sample_id","psi_tlp","psi_ft","elasticity_sym","elasticity_tot","capacitance_tlp_sym","capacitance_tlp_tot","capacitance_ft_sym","capacitance_ft_tot","rwc_tot_tlp","rwc_sym_tlp","mean_psi_bar","psi_midday_mpa","pheno_start_doy","doy","leaf_age_d","gmin","p12","p50","p88","T5","T50","T95"
"2023","1",2023-06-13,"FREX","FREX_05",-2.21892746647094,-1.68021703802202,9.74587082879868,7.14955461230117,0.00987938190692377,0.0134670178989317,0.00987938190692377,0.0134670178989317,82.5642920101937,75.7220352359823,-15.61,-1.561,140,164,24,0.632374813125559,NA,NA,NA,NA,NA,NA
"2023","1",2023-06-13,"FREX","FREX_06",-2.08538377731957,-1.51711902471244,10.2085308716031,5.75505087843697,0.00871504118324009,0.0154590756616495,0.00871504118324009,0.0154590756616495,78.3643067415901,72.7501115723867,-20.5,-2.05,140,164,24,0.784400053047798,NA,NA,NA,NA,NA,NA
"2023","1",2023-06-13,"FREX","FREX_07",-2.12545561606108,-1.75755854849507,8.29528940054825,7.14130106221305,0.0112359492549432,0.0130516064156444,0.0112359492549432,0.0130516064156444,87.0729814209089,82.690908020568,-12.77,-1.277,140,164,24,1.5261087002969,NA,NA,NA,NA,NA,NA
"2023","1",2023-06-13,"FREX","FREX_08",-2.35666709195414,-1.65441544562072,10.98500192697,7.10354865017213,0.00951287637408519,0.0147108115178209,0.00951287637408519,0.0147108115178209,76.8827635842241,70.2014913887939,-23.6,-2.36,140,164,24,1.21727706283325,NA,NA,NA,NA,NA,NA
"2023","1",2023-06-13,"FASY","FASY_01",-2.70034241326022,-2.2218341256553,8.66399291515175,8.26253396081503,0.0076150550087542,0.00798505433771665,0.0076150550087542,0.00798505433771665,87.8926677292919,82.2797181107415,-22.2,-2.22,121,164,43,3.83593751847376,-1.961867109,-3.012308112,-4.341036452,NA,NA,NA
"2023","1",2023-06-13,"FASY","FASY_02",-2.7661591207426,-2.23885266755071,8.90393669133721,11.5160863786456,0.00766715898350657,0.00592804672932549,0.00766715898350657,0.00592804672932549,90.1887736380288,80.9372335366474,-19.21,-1.921,121,164,43,1.69584738240968,-3.487964535,-3.884595857,-4.281257631,NA,NA,NA
"2023","1",2023-06-13,"FASY","FASY_03",-2.52999883417633,-2.17419727228289,8.19264417255418,10.9124841155405,0.00926449773069462,0.00695540378720245,0.00926449773069462,0.00695540378720245,91.9601121996243,85.936690677991,-17.75,-1.775,121,164,43,2.56620926295941,-3.608996698,-4.248567362,-4.75907282,NA,NA,NA
"2023","1",2023-06-13,"FASY","FASY_04",-2.48837698964027,-2.06148093737915,8.73816057256231,8.64293495787086,0.00943524307445277,0.0095391981343841,0.00943524307445277,0.0095391981343841,88.2588648433298,82.8443980137099,-24.41,-2.441,121,164,43,3.16262329922859,-2.036558539,-2.65349663,-3.70016268,NA,NA,NA
"2023","2",2023-07-17,"FREX","FREX_05",-2.80583337085099,-2.45101413186639,8.36551677063159,11.072186446298,0.00816611716570502,0.00616985546910555,0.00816611716570502,0.00616985546910555,92.0321702971558,87.3542298459089,-21.435,-2.1435,140,198,58,1.39957704496031,NA,NA,NA,NA,NA,NA
"2023","2",2023-07-17,"FREX","FREX_06",-2.51968141538956,-2.23316798494873,8.2344285305165,8.81296177879968,0.00977426101739226,0.00913262258551315,0.00977426101739226,0.00913262258551315,91.4148148459621,88.6289818748164,-24.525,-2.4525,140,198,58,1.60977835870664,NA,NA,NA,NA,NA,NA
"2023","2",2023-07-17,"FREX","FREX_07",-2.61208997592772,-2.29530211670156,8.3856025158647,8.49169095562278,0.00898053198670043,0.00886833635550688,0.00898053198670043,0.00886833635550688,91.2573104227288,87.8722455142974,-20.225,-2.0225,140,198,58,1.23539757610547,NA,NA,NA,NA,NA,NA
"2023","2",2023-07-17,"FREX","FREX_08",-2.56077768789381,-2.29682763512291,8.48543410907745,9.12127241675834,0.0101987149816927,0.00948776881341849,0.0101987149816927,0.00948776881341849,92.4639482106897,89.6925822956544,-18.735,-1.8735,140,198,58,2.01122946797908,NA,NA,NA,NA,NA,NA
"2023","2",2023-07-17,"FASY","FASY_01",-2.58923743172196,-2.3065895631207,7.97537147618322,12.0485659146118,0.0093829069070044,0.00621087759656551,0.0093829069070044,0.00621087759656551,94.102661131525,89.0837408289249,-19.52,-1.952,121,198,77,2.40752906996397,-1.648939274,-1.8111424,-3.654637732,NA,NA,NA
"2023","2",2023-07-17,"FASY","FASY_02",-2.9228355368749,-2.36888382445842,9.04977260914133,13.4229231954528,0.00637350947140144,0.00429703802953525,0.00637350947140144,0.00429703802953525,91.5870705147526,81.0474552732183,-5.945,-0.5945,121,198,77,2.04176692203536,-3.751012156,-3.952702744,-4.102766698,NA,NA,NA
"2023","2",2023-07-17,"FASY","FASY_03",-2.84172888295154,-2.33925548606951,8.65560547402262,8.48093191372589,0.00650515956052998,0.00663914004667173,0.00650515956052998,0.00663914004667173,88.610893585402,82.3180388566787,-14.535,-1.4535,121,198,77,2.64525033326328,-2.710756822,-3.467323077,-4.217965242,NA,NA,NA
"2023","2",2023-07-17,"FASY","FASY_04",-2.39997909971735,-2.06888076672441,8.50171651876784,12.6078935127763,0.0105033307301936,0.00708257412552534,0.0105033307301936,0.00708257412552534,93.098931494908,86.2041159845127,-13.955,-1.3955,121,198,77,1.97557007572583,-1.969021082,-2.827854468,-3.68670772,NA,NA,NA
"2023","3",2023-08-09,"FREX","FREX_05",-2.79498437934996,-2.03987595607857,10.1856365742714,19.6108222235187,0.00686536362553041,0.00356579127804303,0.00686536362553041,0.00356579127804303,92.0419522861899,72.9834474621641,-18.95,-1.895,140,221,81,1.48520869303957,NA,NA,NA,NA,NA,NA
"2023","3",2023-08-09,"FREX","FREX_06",-2.76977187238013,-2.35176670379222,8.9286512250748,10.5313169920444,0.0097684212097117,0.00828185364347365,0.0097684212097117,0.00828185364347365,89.6618502243931,84.9083178020466,-17.75,-1.775,140,221,81,1.63098484422039,NA,NA,NA,NA,NA,NA
"2023","3",2023-08-09,"FREX","FREX_07",-2.74550916128869,-2.39168053352798,8.42574503749589,8.8229941448519,0.00824077493215155,0.00786973983545151,0.00824077493215155,0.00786973983545151,90.2247627881286,87.1124586743454,-19.35,-1.935,140,221,81,3.30897542032036,NA,NA,NA,NA,NA,NA
