"campaign","species","sample_id","year","sugar_name","date","sugar_conc"
1,"FREX","FREX_08","2023","glucose_mg_g",2023-06-23,30.821158896914
1,"FREX","FREX_08","2023","glucose_ppm",2023-06-23,25.035
1,"FREX","FREX_08","2023","glucose_starch_1",2023-06-23,10.6512
1,"FREX","FREX_08","2023","starch_mg_g",2023-06-23,3.7765252790545
1,"FREX","FREX_08","2023","sucrose_mg_g",2023-06-23,0.874343401181878
1,"FREX","FREX_08","2023","sucrose_ppm",2023-06-23,0.7102
1,"FREX","FREX_08","2023","sugar_weight_mg",2023-06-23,30.46
1,"FREX","FREX_08","2023","total_sugars_mg_g",2023-06-23,48.8685571240972
2,"FASY","FASY_01","2023","fructose_mg_g",2023-07-17,18.4806454145729
2,"FASY","FASY_01","2023","fructose_ppm",2023-07-17,15.6913
2,"FASY","FASY_01","2023","glucose_mg_g",2023-07-17,22.6170697236181
2,"FASY","FASY_01","2023","glucose_ppm",2023-07-17,19.2034
2,"FASY","FASY_01","2023","glucose_starch_1",2023-07-17,26.52
2,"FASY","FASY_01","2023","starch_mg_g",2023-07-17,8.99547738693467
2,"FASY","FASY_01","2023","sucrose_mg_g",2023-07-17,35.8527795226131
2,"FASY","FASY_01","2023","sucrose_ppm",2023-07-17,30.4414
2,"FASY","FASY_01","2023","sugar_weight_mg",2023-07-17,31.84
2,"FASY","FASY_01","2023","total_sugars_mg_g",2023-07-17,76.950494660804
2,"FASY","FASY_02","2023","fructose_mg_g",2023-07-17,28.6840476190476
2,"FASY","FASY_02","2023","fructose_ppm",2023-07-17,24.0946
2,"FASY","FASY_02","2023","glucose_mg_g",2023-07-17,42.8234523809524
2,"FASY","FASY_02","2023","glucose_ppm",2023-07-17,35.9717
2,"FASY","FASY_02","2023","glucose_starch_1",2023-07-17,52.1702
2,"FASY","FASY_02","2023","starch_mg_g",2023-07-17,17.8869257142857
2,"FASY","FASY_02","2023","sucrose_mg_g",2023-07-17,28.7905952380952
2,"FASY","FASY_02","2023","sucrose_ppm",2023-07-17,24.1841
2,"FASY","FASY_02","2023","sugar_weight_mg",2023-07-17,31.5
2,"FASY","FASY_02","2023","total_sugars_mg_g",2023-07-17,100.298095238095
2,"FASY","FASY_03","2023","fructose_mg_g",2023-07-17,22.4562520538942
2,"FASY","FASY_03","2023","fructose_ppm",2023-07-17,18.2225
2,"FASY","FASY_03","2023","glucose_mg_g",2023-07-17,31.8398784094643
2,"FASY","FASY_03","2023","glucose_ppm",2023-07-17,25.837
2,"FASY","FASY_03","2023","glucose_starch_1",2023-07-17,52.3108
2,"FASY","FASY_03","2023","starch_mg_g",2023-07-17,18.5657785080513
2,"FASY","FASY_03","2023","sucrose_mg_g",2023-07-17,42.3460400920145
2,"FASY","FASY_03","2023","sucrose_ppm",2023-07-17,34.3624
2,"FASY","FASY_03","2023","sugar_weight_mg",2023-07-17,30.43
2,"FASY","FASY_03","2023","total_sugars_mg_g",2023-07-17,96.642170555373
2,"FASY","FASY_04","2023","fructose_mg_g",2023-07-17,17.3487787356322
2,"FASY","FASY_04","2023","fructose_ppm",2023-07-17,14.4897
2,"FASY","FASY_04","2023","glucose_mg_g",2023-07-17,21.8856561302682
2,"FASY","FASY_04","2023","glucose_ppm",2023-07-17,18.2789
2,"FASY","FASY_04","2023","glucose_starch_1",2023-07-17,38.6412
2,"FASY","FASY_04","2023","starch_mg_g",2023-07-17,13.3245517241379
2,"FASY","FASY_04","2023","sucrose_mg_g",2023-07-17,29.9634818007663
2,"FASY","FASY_04","2023","sucrose_ppm",2023-07-17,25.0255
2,"FASY","FASY_04","2023","sugar_weight_mg",2023-07-17,31.32
2,"FASY","FASY_04","2023","total_sugars_mg_g",2023-07-17,69.1979166666667
2,"FREX","FREX_05","2023","fructose_mg_g",2023-07-17,14.2866411737048
2,"FREX","FREX_05","2023","fructose_ppm",2023-07-17,11.5498
2,"FREX","FREX_05","2023","glucose_mg_g",2023-07-17,30.3396645140909
2,"FREX","FREX_05","2023","glucose_ppm",2023-07-17,24.5116
2,"FREX","FREX_05","2023","glucose_starch_1",2023-07-17,45.87225
2,"FREX","FREX_05","2023","starch_mg_g",2023-07-17,22.9466344705986
2,"FREX","FREX_05","2023","sucrose_mg_g",2023-07-17,1.2409098979302
2,"FREX","FREX_05","2023","sucrose_ppm",2023-07-17,0.99625
2,"FREX","FREX_05","2023","sugar_weight_mg",2023-07-17,30.315
2,"FREX","FREX_05","2023","total_sugars_mg_g",2023-07-17,45.8672155857259
2,"FREX","FREX_06","2023","fructose_mg_g",2023-07-17,10.9002210293653
2,"FREX","FREX_06","2023","fructose_ppm",2023-07-17,9.2056
2,"FREX","FREX_06","2023","glucose_mg_g",2023-07-17,31.9119434796337
2,"FREX","FREX_06","2023","glucose_ppm",2023-07-17,26.9507
2,"FREX","FREX_06","2023","glucose_starch_1",2023-07-17,49.613
2,"FREX","FREX_06","2023","starch_mg_g",2023-07-17,16.9188632775497
