"year","campaign","sample_id","vessel_order","species","rmse_fitplc","rmse_spline","p12_fitplc","p50_fitplc","p88_fitplc","p12_lwr","p50_lwr","p88_lwr","p12_upr","p50_upr","p88_upr","p12_spline","p50_spline","p88_spline","date","date_plot"
"2023","1","FASY_01","all","FASY",205.381338654963,2.08010654177241,-3.05071618926103,-3.92400091241213,-4.79714355231998,-3.0016987091249,-3.87666455034336,-4.70308515924334,-3.11109699420467,-3.97556818483197,-4.91168163494493,-3.15313533592593,-4.22738454645949,-4.84839991445125,"2023-06-13",2000-06-13
"2023","1","FASY_01","major","FASY",240.107922101511,2.23129875468494,-2.0474801128678,-3.09844627670032,-4.1491355721789,-1.93018332807523,-3.06354809503153,-4.08805736779061,-2.16533089055673,-3.14116008227437,-4.21079913887968,-1.96315397614001,-3.00402315314615,-4.35433253930326,"2023-06-13",2000-06-13
"2023","1","FASY_02","all","FASY",326.933085294233,1.41491301984088,-3.42238905281079,-3.83794460986031,-4.25410005316214,-3.39222725930285,-3.81641210695314,-4.22828144709021,-3.45608425654979,-3.85848304220462,-4.27534469475416,-3.45819575825773,-3.79153403310502,-4.12492041986821,"2023-06-13",2000-06-13
"2023","1","FASY_02","major","FASY",313.353962536455,2.14929785454208,-3.49983051240552,-3.86574256195401,-4.2317632070117,-3.48192308275925,-3.85101455913192,-4.20772187760244,-3.52093117673429,-3.88273226725983,-4.25952557852399,-3.49356307081249,-3.85052168574171,-4.20749632211469,"2023-06-13",2000-06-13
"2023","1","FASY_03","all","FASY",320.612081643648,2.04406091069858,-3.68061814624248,-4.2831628837448,-4.88663748944903,-3.59415259060544,-4.20916633810253,-4.81406969150666,-3.77820347736382,-4.34496477643168,-4.97178218325458,-4.12692800322319,-4.62954635879804,-4.96909285953749,"2023-06-13",2000-06-13
"2023","1","FASY_03","major","FASY",375.747528042792,1.44425367774159,-3.32081793407359,-3.87217694530374,-4.42384500449583,-3.23388319991607,-3.80922957289419,-4.3683009218803,-3.40628566789467,-3.93535940078379,-4.4837786037106,-3.61471037978077,-4.21462184112152,-4.69655386568488,"2023-06-13",2000-06-13
"2023","1","FASY_04","all","FASY",316.688868467999,1.98788755890986,-2.75914890202247,-3.51649727959196,-4.27318794971368,-2.70697253304202,-3.48318868324071,-4.23656129424497,-2.83165920869934,-3.55736095320287,-4.32606388219901,-2.60781332984771,-3.48117622651144,-4.3545467501248,"2023-06-13",2000-06-13
"2023","1","FASY_04","major","FASY",347.079415629809,4.11834293653307,-2.07548024260347,-2.961137280008,-3.84692773268099,-1.95713758145225,-2.88935247698685,-3.80959588005795,-2.19394859157376,-3.03802341220928,-3.8886321033061,-1.9559744521774,-2.65648243169568,-3.72980631228977,"2023-06-13",2000-06-13
"2023","2","FASY_01","all","FASY",159.520148676328,3.10906416266284,-2.63560922939167,-4.01205722437485,-5.38849334060812,-2.54997222178794,-3.97196838232534,-5.32532590947268,-2.72441607715665,-4.04457915241804,-5.46368406561224,-2.65305022133884,-4.2258404113687,-5.32699546736887,"2023-07-17",2000-07-17
"2023","2","FASY_01","major","FASY",260.245189917192,3.6516067263487,NA,-1.59099408680091,-3.34261022397351,NA,-1.40157304744715,-3.29404895060027,-0.102828536371123,-1.7269564136198,-3.39684284514437,-1.6472209855333,-1.8087053584527,-3.65634848929732,"2023-07-17",2000-07-17
