year,campaign,sample_id,date,rwc_class,rwc_interval,gmin_mean,gmin_min,gmin_max
2023,2,FASY_02,19.07.2023,rwc_class_90,90+,2.424172324,2.432554351,2.415790297
2023,2,FASY_02,19.07.2023,rwc_class_tlp,rwc_tlp_90,2.046545388,2.047961685,2.045129091
2023,2,FASY_02,19.07.2023,rwc_class_80_90,80-90,2.059713977,2.063629566,2.055798387
2023,2,FASY_02,19.07.2023,rwc_class_standard,standard,2.041766922,2.042885298,2.040648546
2023,2,FASY_02,19.07.2023,rwc_class_70_80,70-80,2.042145241,2.043829367,2.040461114
2023,2,FASY_02,19.07.2023,rwc_class_65_70,65-70,2.069839118,2.069839118,2.069839118
2023,2,FASY_03,19.07.2023,rwc_class_90,90+,3.8691124,3.8862533,3.8519715
2023,2,FASY_03,19.07.2023,rwc_class_80_90,80-90,2.768546406,2.778203044,2.758889769
2023,2,FASY_03,19.07.2023,rwc_class_standard,standard,2.645250333,2.647838945,2.642661722
2023,2,FASY_03,19.07.2023,rwc_class_tlp,rwc_tlp_90,2.633058715,2.634712332,2.631405099
2023,2,FASY_03,19.07.2023,rwc_class_70_80,70-80,2.616483047,2.616483047,2.616483047
2023,2,FASY_03,19.07.2023,rwc_class_65_70,65-70,2.616483047,2.616483047,2.616483047
2023,2,FASY_04,19.07.2023,rwc_class_90,90+,2.393660161,2.399638912,2.387681409
2023,2,FASY_04,19.07.2023,rwc_class_tlp,rwc_tlp_90,2.001855532,2.007890062,1.995821001
2023,2,FASY_04,19.07.2023,rwc_class_80_90,80-90,2.107736848,2.113800086,2.101673611
2023,2,FASY_04,19.07.2023,rwc_class_standard,standard,1.975570076,1.980443887,1.970696265
2023,2,FASY_04,19.07.2023,rwc_class_70_80,70-80,1.934750349,1.937029344,1.932471355
2023,2,FASY_04,19.07.2023,rwc_class_65_70,65-70,1.880794547,1.881380143,1.880208951
2023,2,FREX_05,19.07.2023,rwc_class_90,90+,2.916593521,2.932034618,2.901152424
2023,2,FREX_05,19.07.2023,rwc_class_tlp,rwc_tlp_90,1.428908495,1.437008241,1.420808749
2023,2,FREX_05,19.07.2023,rwc_class_80_90,80-90,1.716473741,1.73465601,1.698291472
2023,2,FREX_05,19.07.2023,rwc_class_standard,standard,1.399577045,1.40572417,1.39342992
2023,2,FREX_05,19.07.2023,rwc_class_70_80,70-80,1.326710375,1.327279778,1.326140971
2023,2,FREX_05,19.07.2023,rwc_class_65_70,65-70,1.321459902,1.321459902,1.321459902
2023,2,FREX_06,19.07.2023,rwc_class_90,90+,4.079402109,4.154673936,4.004130282
2023,2,FREX_06,19.07.2023,rwc_class_tlp,rwc_tlp_90,1.645887777,1.667685651,1.624089904
2023,2,FREX_06,19.07.2023,rwc_class_80_90,80-90,2.762748569,2.865271337,2.6602258
2023,2,FREX_06,19.07.2023,rwc_class_standard,standard,1.609778359,1.62858671,1.590970007
2023,2,FREX_06,19.07.2023,rwc_class_70_80,70-80,1.545373198,1.556946287,1.533800109
2023,2,FREX_06,19.07.2023,rwc_class_65_70,65-70,1.286026766,1.286026766,1.286026766
2023,2,FREX_07,19.07.2023,rwc_class_90,90+,3.01394653,3.055207668,2.972685392
2023,2,FREX_07,19.07.2023,rwc_class_tlp,rwc_tlp_90,1.247523322,1.251686163,1.243360482
2023,2,FREX_07,19.07.2023,rwc_class_80_90,80-90,1.419155433,1.429933861,1.408377006
2023,2,FREX_07,19.07.2023,rwc_class_standard,standard,1.235397576,1.23871333,1.232081822
2023,2,FREX_07,19.07.2023,rwc_class_70_80,70-80,1.192122457,1.192165905,1.192079008
2023,2,FREX_07,19.07.2023,rwc_class_65_70,65-70,1.191903197,1.191903197,1.191903197
2023,2,FREX_08,19.07.2023,rwc_class_90,90+,3.107145156,3.130950396,3.083339917
2023,2,FREX_08,19.07.2023,rwc_class_tlp,rwc_tlp_90,2.043003077,2.050823384,2.03518277
2023,2,FREX_08,19.07.2023,rwc_class_80_90,80-90,2.224713958,2.233988238,2.215439678
2023,2,FREX_08,19.07.2023,rwc_class_standard,standard,2.011229468,2.017469033,2.004989903
2023,2,FREX_08,19.07.2023,rwc_class_70_80,70-80,1.946123586,1.949321818,1.942925353
2023,2,FREX_08,19.07.2023,rwc_class_65_70,65-70,1.889686385,1.889686385,1.889686385
2023,3,FASY_01,11.08.2023,rwc_class_90,90+,3.240556435,3.243209411,3.237903459
2023,3,FASY_01,11.08.2023,rwc_class_80_90,80-90,3.077512421,3.082222732,3.07280211
2023,3,FASY_01,11.08.2023,rwc_class_standard,standard,2.913920955,2.921341301,2.906500609
2023,3,FASY_01,11.08.2023,rwc_class_tlp,rwc_tlp_90,2.886988612,2.893939614,2.880037609
2023,3,FASY_01,11.08.2023,rwc_class_70_80,70-80,2.866793459,2.871565372,2.862021546
2023,3,FASY_01,11.08.2023,rwc_class_65_70,65-70,2.724452077,2.726937807,2.721966348
2023,3,FASY_02,11.08.2023,rwc_class_90,90+,3.085040013,3.089270392,3.080809633
2023,3,FASY_02,11.08.2023,rwc_class_tlp,rwc_tlp_90,2.599789517,2.61002131,2.589557723
2023,3,FASY_02,11.08.2023,rwc_class_80_90,80-90,2.830137806,2.837176444,2.823099169
2023,3,FASY_02,11.08.2023,rwc_class_standard,standard,2.588483843,2.598493331,2.578474354
2023,3,FASY_02,11.08.2023,rwc_class_70_80,70-80,2.52697115,2.533222118,2.520720182
2023,3,FASY_02,11.08.2023,rwc_class_65_70,65-70,2.33377317,2.336969082,2.330577258
2023,3,FASY_03,11.08.2023,rwc_class_90,90+,8.127780714,8.145509598,8.11005183
2023,3,FASY_03,11.08.2023,rwc_class_80_90,80-90,7.2113454,7.244880435,7.177810364
2023,3,FASY_03,11.08.2023,rwc_class_standard,standard,6.083291591,6.138598964,6.027984218
2023,3,FASY_03,11.08.2023,rwc_class_tlp,rwc_tlp_90,6.068880126,6.123917209,6.013843044
2023,3,FASY_03,11.08.2023,rwc_class_70_80,70-80,5.925010613,5.960773918,5.889247308
2023,3,FASY_03,11.08.2023,rwc_class_65_70,65-70,4.87501547,4.899602107,4.850428833
2023,3,FASY_04,11.08.2023,rwc_class_90,90+,4.29334252,4.299831458,4.286853582
2023,3,FASY_04,11.08.2023,rwc_class_tlp,rwc_tlp_90,3.532526377,3.557636615,3.507416138
2023,3,FASY_04,11.08.2023,rwc_class_80_90,80-90,3.953040404,3.966856887,3.93922392
2023,3,FASY_04,11.08.2023,rwc_class_standard,standard,3.509231801,3.534012587,3.484451015
2023,3,FASY_04,11.08.2023,rwc_class_70_80,70-80,3.424955205,3.44129349,3.40861692
2023,3,FASY_04,11.08.2023,rwc_class_65_70,65-70,2.973595824,2.98548231,2.961709339
2023,3,FREX_05,11.08.2023,rwc_class_90,90+,5.788278436,5.860387638,5.716169234
2023,3,FREX_05,11.08.2023,rwc_class_tlp,rwc_tlp_90,1.515235722,1.524313947,1.506157496
2023,3,FREX_05,11.08.2023,rwc_class_80_90,80-90,1.841890182,1.87787175,1.805908613
2023,3,FREX_05,11.08.2023,rwc_class_standard,standard,1.485208693,1.49138156,1.479035827
2023,3,FREX_05,11.08.2023,rwc_class_70_80,70-80,1.43368085,1.433808964,1.433552737
2023,3,FREX_05,11.08.2023,rwc_class_65_70,65-70,1.435539202,1.435539202,1.435539202
2023,3,FREX_06,11.08.2023,rwc_class_90,90+,4.775217208,4.808786094,4.741648323
2023,3,FREX_06,11.08.2023,rwc_class_80_90,80-90,2.516650053,2.559827324,2.473472782
2023,3,FREX_06,11.08.2023,rwc_class_standard,standard,1.630984844,1.64490897,1.617060719
