year,campaign,date,sample_id,species,rmse_fitplc,p12_fitplc,p50_fitplc,p88_fitplc,p12_lwr,p50_lwr,p88_lwr,p12_upr,p50_upr,p88_upr,rmse_spline,p12_spline,p50_spline,p88_spline,,date_plot,vessel_order
2023,3,09.08.2023,FASY_03,FASY,4.352632988,-2.786227923,-3.399075218,-3.876734617,-2.758607711,-3.39060806,-3.856254531,-2.811453261,-3.41055388,-3.904512476,2.22485366,-2.355239133,-3.397949425,-3.92042853,,09.08.2000,all
2023,3,09.08.2023,FASY_03,FASY,7.589511427,-2.609382293,-3.056623817,-3.393757803,-2.544473289,-3.038719649,-3.373416784,-2.653266997,-3.070918164,-3.418184296,2.202800632,-0.24865823,-3.072432821,-3.375669266,,09.08.2000,major
2023,3,09.08.2023,FASY_04,FASY,3.194678166,-3.255088058,-3.950091215,-4.489432412,-3.220806859,-3.933491089,-4.435993955,-3.293307414,-3.967048413,-4.534478078,3.200835579,-3.18318809,-3.94078891,-4.698410449,,09.08.2000,all
2023,3,09.08.2023,FASY_04,FASY,4.21909033,-1.617479324,-2.797341915,-4.018737534,-1.532417037,-2.749156853,-3.969271868,-1.700992976,-2.842911746,-4.061312933,3.201275135,-1.99956448,-2.776230654,-4.062513245,,09.08.2000,major
2023,3,09.08.2023,FREX_07,FREX,7.918412649,-3.248507625,-4.335546795,-5.247507089,-3.195008038,-4.305140799,-5.22251317,-3.314595449,-4.367618228,-5.269119854,1.927605376,-3.591606674,-4.038698558,-5.278393837,,09.08.2000,all
2023,3,09.08.2023,FREX_07,FREX,6.146137489,-3.581902659,-3.610805958,-3.630049707,-3.56400179,-3.593683998,-3.619223622,-3.578770377,-3.611764609,-3.663937169,2.43977918,-3.575835757,-3.617966536,-3.72688454,,09.08.2000,major
2023,4,18.09.2023,FASY_01,FASY,5.660933025,-3.813380014,-4.271568066,-4.604449904,-3.750449123,-4.250659986,-4.585812722,-3.875684717,-4.293836755,-4.625058882,3.074394153,-3.35544555,-4.287090317,-4.578022286,,18.09.2000,all
2023,4,18.09.2023,FASY_01,FASY,8.639586985,-2.314876851,-2.886332988,-3.339779577,-2.145206269,-2.833873381,-3.184310044,-2.398808926,-2.995287353,-3.721558593,5.238821414,-2.434060053,-2.816580616,-4.156895736,,18.09.2000,major
2023,4,18.09.2023,FASY_03,FASY,1.73792532,-3.833732066,-4.558171811,-5.110990354,-3.814902515,-4.547937772,-5.09990622,-3.860684923,-4.57323806,-5.122831974,2.544420111,-3.909332969,-4.500451969,-5.09157097,,18.09.2000,all
2023,4,18.09.2023,FASY_03,FASY,3.793809543,-2.962286986,-4.031257774,-4.942430516,-2.937912413,-4.015061395,-4.904864151,-2.991843786,-4.053166353,-4.971689725,2.305174886,-3.091118421,-3.966051458,-4.943743648,,18.09.2000,major
2023,4,18.09.2023,FASY_04,FASY,4.281728829,-2.995946651,-3.493157646,-3.866526228,-2.910832543,-3.468228162,-3.833776918,-3.086275492,-3.516712058,-3.896173181,4.769918787,-2.902152546,-3.43728568,-3.972391394,,18.09.2000,all
2023,4,18.09.2023,FASY_04,FASY,501.3982641,-2.391302482,-2.853161303,-3.315471071,-2.261514372,-2.765408212,-3.267725782,-2.525997809,-2.948016466,-3.371920857,2.314559431,-2.565320397,-2.616383028,-2.740502758,,18.09.2000,major
2023,4,18.09.2023,FREX_05,FREX,5.371760541,-3.696515602,-4.717558054,-5.543352897,-3.647355952,-4.687407748,-5.506972456,-3.735792571,-4.740404872,-5.569772156,4.500815287,-3.950781349,-4.634517517,-5.567359007,,18.09.2000,all
2023,4,18.09.2023,FREX_05,FREX,5.841802532,-3.634765472,-4.41395951,-5.018987043,-3.557450798,-4.37235747,-4.955662668,-3.717855711,-4.456395213,-5.075564733,3.102800288,-3.883734743,-4.240847306,-5.096788914,,18.09.2000,major
2023,4,18.09.2023,FREX_06,FREX,5.045418379,-3.874873114,-4.655825314,-5.256947895,-3.848624082,-4.637132068,-5.219991035,-3.902366783,-4.673498313,-5.278283272,4.063826403,-4.044992648,-4.638850539,-5.271833295,,18.09.2000,all
2023,4,18.09.2023,FREX_06,FREX,4.702151809,-3.455449313,-4.51582128,-5.390252161,-3.427631969,-4.502677084,-5.366913094,-3.480825297,-4.528007643,-5.409679519,2.734320139,-3.722231923,-4.448427529,-5.378406658,,18.09.2000,major
2023,4,18.09.2023,FREX_07,FREX,6.174302808,-3.637129733,-4.291426735,-4.787583322,-3.608457254,-4.267482694,-4.750745816,-3.67289635,-4.310345177,-4.822600655,3.318841437,-3.771525494,-4.263512107,-4.845774522,,18.09.2000,all
2023,4,18.09.2023,FREX_07,FREX,9.492379334,-3.553097972,-3.988505436,-4.305393773,-3.498884282,-3.950261334,-4.198932856,-3.619119479,-4.018708303,-4.380644701,4.196583668,-3.747683681,-3.89572541,-4.640820355,,18.09.2000,major
2024,1,28.05.2024,FASY_01,FASY,1.538816157,-3.325682989,-3.851489053,-4.244137756,-3.314470989,-3.844450224,-4.234218133,-3.335082994,-3.857237098,-4.254191218,1.60990086,-3.292723149,-3.832892926,-4.217427137,,28.05.2000,all
2024,1,28.05.2024,FASY_01,FASY,5.916998631,-2.042741332,-3.062092865,-4.002121294,-1.994011776,-3.036549754,-3.969683374,-2.08330359,-3.083899035,-4.033746687,3.333005343,-2.283989132,-2.923466152,-4.061014669,,28.05.2000,major
2024,1,28.05.2024,FASY_02,FASY,7.125748849,-4.385445272,-4.880800533,-5.238774768,-4.290493021,-4.851625575,-5.207131057,-4.46459619,-4.901253523,-5.273961579,1.147125882,-3.705048128,-4.968480241,-5.112670498,,28.05.2000,all
2024,1,28.05.2024,FASY_02,FASY,3.441772587,-3.404569863,-3.409414724,-3.412622751,-3.263134356,-3.377047303,-3.408432934,-3.380404154,-3.466200948,-3.580006437,3.771975842,-3.300324193,-3.445478555,-3.590684279,,28.05.2000,major
2024,1,28.05.2024,FASY_03,FASY,4.139330192,-3.594093016,-4.786364895,-5.784834814,-3.466489029,-4.727379478,-5.736651636,-3.707436985,-4.828421207,-5.841605706,1.774415682,-2.848887064,-4.889414832,-5.646870194,,28.05.2000,all
2024,1,28.05.2024,FASY_03,FASY,9.79756229,-2.262410465,-3.509785045,-4.69255678,-2.190107895,-3.391815279,-4.472007358,-2.3446244,-3.590704296,-4.816873735,2.452474382,-2.461504332,-2.814577498,-5.106066616,,28.05.2000,major
2024,1,28.05.2024,FASY_04,FASY,6.112624591,-2.181175582,-4.867642689,-8.277331259,-2.121720898,-4.810586736,-8.156705194,-2.228147609,-4.918831995,-8.40884951,2.035226456,-2.879680858,-4.364952555,-8.815962679,,28.05.2000,all
2024,1,28.05.2024,FASY_04,FASY,221.2697445,-1.868877028,-2.470284934,-3.071818353,-1.802514686,-2.428719237,-3.042908239,-1.913850485,-2.499496597,-3.10393035,6.25476622,-1.979448555,-2.501385157,-3.023315105,,28.05.2000,major
2024,1,28.05.2024,FREX_06,FREX,2.994577955,-3.197934183,-3.948572401,-4.539437198,-3.185000144,-3.943881464,-4.524712914,-3.207173207,-3.95279483,-4.56073727,1.193474751,-3.239543943,-3.922325975,-4.663166344,,28.05.2000,all
2024,1,28.05.2024,FREX_06,FREX,3.364668684,-3.307633077,-4.237146313,-4.991231438,-3.295253544,-4.229480173,-4.975558444,-3.317766316,-4.243298431,-5.006137816,1.566933222,-3.459706106,-4.166321243,-5.152581413,,28.05.2000,major
2024,1,28.05.2024,FREX_07,FREX,3.942514801,-3.311349292,-3.56672098,-3.746343769,-3.297946041,-3.559373278,-3.743177239,-3.325664527,-3.573449217,-3.750097743,1.587864464,-3.060100611,-3.603249171,-3.743743374,,28.05.2000,all
2024,1,28.05.2024,FREX_07,FREX,6.169898743,-3.607943675,-3.748362492,-3.844220476,-3.587666702,-3.741392672,-3.843842316,-3.620908387,-3.752889997,-3.848782164,0.555462381,-3.142398873,-3.771469862,-3.82855603,,28.05.2000,major
2024,1,28.05.2024,FREX_08,FREX,3.298302466,-3.740534396,-5.749957099,-7.641217951,-3.714696557,-5.735628885,-7.621953665,-3.766573598,-5.76577844,-7.661650505,2.537036025,-3.546378738,-5.774131253,-7.532715654,,28.05.2000,all
2024,1,28.05.2024,FREX_08,FREX,4.306360227,-2.221004746,-4.576826472,-7.383190469,-2.197910918,-4.553627889,-7.342165342,-2.245777757,-4.598995749,-7.418089972,2.537074004,-1.912124427,-5.014496134,-7.232936431,,28.05.2000,major
2024,2,09.07.2024,FASY_01,FASY,10.55738603,-3.382503924,-3.984149108,-4.439735388,-3.290798022,-3.94750235,-4.415017273,-3.479560154,-4.020153504,-4.468865487,2.957429546,-1.831043213,-4.101255808,-4.306177664,,09.07.2000,all
2024,2,09.07.2024,FASY_01,FASY,4.805916348,-1.530575877,-2.673359343,-3.865827257,-1.503129952,-2.650629301,-3.83331008,-1.559202264,-2.692953633,-3.895491992,2.657163279,-1.673736127,-2.664801185,-4.084773261,,09.07.2000,major
2024,2,09.07.2024,FASY_02,FASY,1.992855457,-2.711948519,-2.862170204,-2.966065586,-2.706390329,-2.858961358,-2.967387982,-2.7110809,-2.864227156,-2.977489447,2.179749712,-2.676955,-2.868610356,-3.004623251,,09.07.2000,all
2024,2,09.07.2024,FASY_02,FASY,3.570551136,-1.707477321,-2.34035295,-2.882970416,-1.652185371,-2.312664785,-2.872140042,-1.754888258,-2.36408168,-2.893200166,2.420792592,-1.438490144,-2.402543171,-2.838015302,,09.07.2000,major
2024,2,09.07.2024,FASY_03,FASY,8.251195961,-3.674138902,-4.201320936,-4.590896905,-3.648511283,-4.174802741,-4.531713438,-3.704500179,-4.232399704,-4.646127321,5.178416989,-3.803272002,-4.148425068,-4.902679403,,09.07.2000,all
2024,2,09.07.2024,FASY_03,FASY,6.300596612,-3.407112136,-4.044210155,-4.52971431,-3.388137468,-4.032299285,-4.493445209,-3.43830337,-4.059429008,-4.565913349,5.987806101,-3.396726402,-4.040551427,-4.661345801,,09.07.2000,major
2024,2,09.07.2024,FASY_04,FASY,7.948327168,-3.444438883,-4.040085899,-4.489572606,-3.410740058,-4.012734684,-4.405756631,-3.480924988,-4.066056937,-4.563114168,3.13008235,-3.564973321,-3.978100898,-5.225165176,,09.07.2000,all
2024,2,09.07.2024,FASY_04,FASY,4.347589812,-3.395033429,-4.33279775,-5.091238725,-3.375553483,-4.313205031,-5.055256853,-3.407785496,-4.349770806,-5.127578876,3.790685589,-3.449747116,-4.315862416,-5.254025581,,09.07.2000,major
2024,2,09.07.2024,FREX_05,FREX,4.891159036,-5.202780644,-6.541179782,-7.610439293,-5.149473058,-6.511637082,-7.568221063,-5.255392997,-6.565596167,-7.649675813,3.030573829,-4.828519108,-6.683982856,-7.396061189,,09.07.2000,all
2024,2,09.07.2024,FREX_05,FREX,7.800584665,-3.177769061,-4.773198808,-6.246904673,-3.142731994,-4.750159992,-6.193935211,-3.215084534,-4.790064009,-6.288571742,3.945561451,-3.461258053,-4.736080997,-6.712187263,,09.07.2000,major
2024,2,09.07.2024,FREX_06,FREX,8.470051382,-4.39731455,-5.800928507,-6.967335967,-4.368626365,-5.777996476,-6.924548398,-4.428756245,-5.827245056,NA,3.0316739,-4.086247594,-6.157905037,-6.567157051,,09.07.2000,all
2024,2,09.07.2024,FREX_06,FREX,7.965238761,-2.432157975,-4.458341578,-6.656307104,-2.383374501,-4.42641399,-6.611308546,-2.473299758,-4.487098252,-6.708257975,3.181433329,-3.290744483,-4.220859988,-6.516650381,,09.07.2000,major
